product_category,customer_state,total_sales_revenue,quantity_sold
"bed table bath",PB,3494.59,32
"Cool Stuff",PI,3490.87,20
"musical instruments",MA,3477.05,10
telephony,MT,3463.74,66
"Furniture Kitchen Service Area Dinner and Garden",PR,3439.09,14
"Bags Accessories",BA,3435.83,32
"Cool Stuff",TO,3429.41,16
"Bags Accessories",CE,3416.5,24
toys,PB,3408.07,16
"stationary store",RN,3403.01,13
electrostile,PA,3366.25,9
climatization,PR,3353.81,12
"Industry Commerce and Business",PB,3321.97,3
"sport leisure",RO,3321.88,20
PCs,PA,3319,4
"bed table bath",RN,3311.44,30
"Fashion Calcados",MG,3304.28,43
toys,MA,3284.03,23
"musical instruments",CE,3261.67,7
"Construction Tools Illumination",RJ,3257.91,21
"Furniture Decoration",RN,3241.48,29
"Construction Tools Construction",MT,3215.88,7
"stationary store",CE,3173.43,38
telephony,PB,3172.42,27
"Furniture office",GO,3161.93,22
"Fashion Bags and Accessories",GO,3160.69,45
"Agro Industria e Comercio",RS,3155.93,9
"Industry Commerce and Business",RS,3147.49,23
"Industry Commerce and Business",RJ,3126.6,28
"sport leisure",SE,3116.92,35
"stationary store",MT,3113.16,28
toys,RO,3079.05,15
"home appliances",SC,3048.51,25
"General Interest Books",PR,3003.25,37
"Furniture office",DF,2997.74,19
"House comfort",RS,2991.89,21
Art,RJ,2982.9,33
perfumery,RN,2970.59,21
"Market Place",RJ,2967.74,36
"pet Shop",MT,2936.2,16
"SIGNALIZATION AND SAFETY",MT,2919.4,6
"Watches present",SE,2896,20
PCs,MT,2889.99,2
electronics,PA,2875.88,28
telephony,PI,2875.69,38
"Garden tools",RN,2871.31,19
"pet Shop",PE,2864.78,23
"CONSTRUCTION SECURITY TOOLS",SC,2850.64,13
audio,PR,2841.27,18
perfumery,MT,2837.13,30
"Market Place",MG,2825.05,33
"Drink foods",RJ,2811.4,52
foods,RJ,2808.31,47
"computer accessories",RN,2801.27,32
NULL,PB,2791.34,10
"Bags Accessories",DF,2776.85,24
"HEALTH BEAUTY",AM,2776.03,20
"Casa Construcao",PR,2748.11,24
"home appliances",BA,2737.29,39
"CONSTRUCTION SECURITY TOOLS",RJ,2736.43,17
"ELECTRICES 2",DF,2733.9,5
NULL,DF,2701.81,33
"Construction Tools Construction",ES,2696.38,12
"Games consoles",AL,2683.08,7
electrostile,GO,2679.88,11
"Casa Construcao",GO,2668.35,13
"Fashion Bags and Accessories",CE,2667.73,30
"Casa Construcao",BA,2654.23,14
"ELECTRICES 2",CE,2653.9,3
"Construction Tools Construction",PE,2593.77,12
electronics,PB,2573.43,13
"pet Shop",MS,2569.92,25
"Bags Accessories",ES,2553.48,16
"General Interest Books",RS,2540.85,28
"musical instruments",DF,2532.6,10
"Construction Tools Tools",GO,2529.5,7
housewares,PI,2506.09,19
"Cool Stuff",AL,2500.94,16
PCs,SE,2500,2
PCs,RO,2499.9,2
